featureid	f.var.fixed	f.var.random	f.var.residual	assay	icc
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd4_t_cells_t_regs	0.00818816325551073	0.880915489652889	0.1108963470916	<b>Flow cytometry</b>: immune cells	0.880915489652889
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd4_t_cells_temra	0.073186674694719	0.588084276042519	0.338729049262762	<b>Flow cytometry</b>: immune cells	0.588084276042519
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells	0.0346688337488265	0.895279461310203	0.070051704940971	<b>Flow cytometry</b>: immune cells	0.895279461310203
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_activated_t_cells	0.0836546195069321	0.856429140253338	0.0599162402397304	<b>Flow cytometry</b>: immune cells	0.856429140253337
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_cd57pos_cd28neg	0.353188379029511	0.533739591822144	0.113072029148344	<b>Flow cytometry</b>: immune cells	0.533739591822144
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_cd57neg_cd28pos	0.236336855613522	0.621107519562444	0.142555624824034	<b>Flow cytometry</b>: immune cells	0.621107519562444
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_cm	0.0942992407126462	0.78930292056702	0.116397838720334	<b>Flow cytometry</b>: immune cells	0.78930292056702
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_dn	0.0346680238899312	0.806582087829594	0.158749888280475	<b>Flow cytometry</b>: immune cells	0.806582087829594
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_dp	0.108444556473077	0.766711320501345	0.124844123025578	<b>Flow cytometry</b>: immune cells	0.766711320501345
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_em	0.245610073985678	0.635214323961	0.119175602053322	<b>Flow cytometry</b>: immune cells	0.635214323961
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_exhausted_t_cells	0.0442650848469728	0.791409900249717	0.164325014903311	<b>Flow cytometry</b>: immune cells	0.791409900249717
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_highly_differentiated_klrg1	0.262725986363301	0.641598810326829	0.0956752033098707	<b>Flow cytometry</b>: immune cells	0.641598810326829
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_naive	0.283385127118696	0.555079848137128	0.161535024744177	<b>Flow cytometry</b>: immune cells	0.555079848137128
