OTU	rel.abund.	group	Phylum	Family	Genus	Species	label
ASV_pfp_n0y_4su	0.0153504716108748	Smoker baseline	Bacteroidota	Prevotellaceae	Prevotella_7	salivae	Prevotella_7 <br>salivae
ASV_qwa_h7y_hxz	0.0332901793970779	Smoker baseline	Firmicutes	Streptococcaceae	Streptococcus	NA	Streptococcus sp. <br>ASV_qwa_h7y_hxz
ASV_1vt_h8b_4qs	0.00709895247164748	M6 no smoking cessation	Actinobacteriota	Actinomycetaceae	Actinomyces	graevenitzii	Actinomyces <br>graevenitzii
ASV_6wb_da0_3db	0.00328975846247078	M6 no smoking cessation	Firmicutes	Veillonellaceae	Megasphaera	micronuciformis	Megasphaera <br>micronuciformis
ASV_7w6_t4q_x00	0.0626785559691802	M6 no smoking cessation	Firmicutes	Streptococcaceae	Streptococcus	australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis	Streptococcus sp. <br>ASV_7w6_t4q_x00
ASV_9i4_15j_91n	0.000519435546705913	M6 no smoking cessation	Proteobacteria	Neisseriaceae	Neisseria	cinerea/flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava	Neisseria sp.
ASV_dvw_6oa_8gj	0.0018180244134707	M6 no smoking cessation	Bacteroidota	Prevotellaceae	Prevotella_7	histicola	Prevotella_7 <br>histicola
ASV_e54_2dz_d7f	0.00666608951605921	M6 no smoking cessation	Bacteroidota	Porphyromonadaceae	Porphyromonas	pasteri	Porphyromonas <br>pasteri
ASV_ivt_f41_sgz	0.0115141546186477	M6 no smoking cessation	Fusobacteriota	Fusobacteriaceae	Fusobacterium	periodonticum	Fusobacterium <br>periodonticum
ASV_pfp_n0y_4su	0.0061466539693533	M6 no smoking cessation	Bacteroidota	Prevotellaceae	Prevotella_7	salivae	Prevotella_7 <br>salivae
ASV_qwa_h7y_hxz	0.0161025019478833	M6 no smoking cessation	Firmicutes	Streptococcaceae	Streptococcus	NA	Streptococcus sp. <br>ASV_qwa_h7y_hxz
ASV_1vt_h8b_4qs	0.0112449421285405	Smoker baseline	Actinobacteriota	Actinomycetaceae	Actinomyces	graevenitzii	Actinomyces <br>graevenitzii
ASV_6wb_da0_3db	0.00851604403876917	Smoker baseline	Firmicutes	Veillonellaceae	Megasphaera	micronuciformis	Megasphaera <br>micronuciformis
ASV_7w6_t4q_x00	0.065258304319187	Smoker baseline	Firmicutes	Streptococcaceae	Streptococcus	australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis	Streptococcus sp. <br>ASV_7w6_t4q_x00
ASV_9i4_15j_91n	0.000329349769455161	Smoker baseline	Proteobacteria	Neisseriaceae	Neisseria	cinerea/flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava	Neisseria sp.
ASV_dvw_6oa_8gj	0.0595652583043192	Smoker baseline	Bacteroidota	Prevotellaceae	Prevotella_7	histicola	Prevotella_7 <br>histicola
ASV_e54_2dz_d7f	0.00409334713465701	Smoker baseline	Bacteroidota	Porphyromonadaceae	Porphyromonas	pasteri	Porphyromonas <br>pasteri
ASV_ivt_f41_sgz	0.000423449703585208	Smoker baseline	Fusobacteriota	Fusobacteriaceae	Fusobacterium	periodonticum	Fusobacterium <br>periodonticum
ASV_pfp_n0y_4su	0.0271007810294533	Smoker baseline	Bacteroidota	Prevotellaceae	Prevotella_7	salivae	Prevotella_7 <br>salivae
ASV_qwa_h7y_hxz	0.0629999059000659	Smoker baseline	Firmicutes	Streptococcaceae	Streptococcus	NA	Streptococcus sp. <br>ASV_qwa_h7y_hxz
ASV_1vt_h8b_4qs	0.0030010718113612	M6 smoking cessation	Actinobacteriota	Actinomycetaceae	Actinomyces	graevenitzii	Actinomyces <br>graevenitzii
ASV_6wb_da0_3db	0.00439442658092176	M6 smoking cessation	Firmicutes	Veillonellaceae	Megasphaera	micronuciformis	Megasphaera <br>micronuciformis
ASV_7w6_t4q_x00	0.029957127545552	M6 smoking cessation	Firmicutes	Streptococcaceae	Streptococcus	australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis	Streptococcus sp. <br>ASV_7w6_t4q_x00
ASV_9i4_15j_91n	0.0236870310825295	M6 smoking cessation	Proteobacteria	Neisseriaceae	Neisseria	cinerea/flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava	Neisseria sp.
ASV_dvw_6oa_8gj	0.0445873526259378	M6 smoking cessation	Bacteroidota	Prevotellaceae	Prevotella_7	histicola	Prevotella_7 <br>histicola
ASV_e54_2dz_d7f	0.0128617363344051	M6 smoking cessation	Bacteroidota	Porphyromonadaceae	Porphyromonas	pasteri	Porphyromonas <br>pasteri
ASV_ivt_f41_sgz	0.0148445873526259	M6 smoking cessation	Fusobacteriota	Fusobacteriaceae	Fusobacterium	periodonticum	Fusobacterium <br>periodonticum
ASV_pfp_n0y_4su	0.0184351554126474	M6 smoking cessation	Bacteroidota	Prevotellaceae	Prevotella_7	salivae	Prevotella_7 <br>salivae
ASV_qwa_h7y_hxz	0.0459807073954984	M6 smoking cessation	Firmicutes	Streptococcaceae	Streptococcus	NA	Streptococcus sp. <br>ASV_qwa_h7y_hxz
ASV_1vt_h8b_4qs	0.0154771293375394	Smoker baseline	Actinobacteriota	Actinomycetaceae	Actinomyces	graevenitzii	Actinomyces <br>graevenitzii
ASV_6wb_da0_3db	0.00739353312302839	Smoker baseline	Firmicutes	Veillonellaceae	Megasphaera	micronuciformis	Megasphaera <br>micronuciformis
