sampletype	type	rowname	value
buccal	Never smoker (control)	epithelial_hypoM	-0.166378767115558
buccal	Never smoker (control)	immune_hypoM	-0.416471173025247
buccal	Never smoker (control)	proximal_epithelial_hyperM	-1.26591560058698
buccal	Never smoker (control)	distal_epithelial_hyperM	1.27938271303286
buccal	Never smoker (control)	epithelial_hypoM	-0.892391457337328
buccal	Never smoker (control)	immune_hypoM	-2.06595232324576
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.469003871596628
buccal	Never smoker (control)	distal_epithelial_hyperM	0.379683888832583
buccal	Never smoker (control)	epithelial_hypoM	-1.02328836258641
buccal	Never smoker (control)	immune_hypoM	0.690041154091022
buccal	Never smoker (control)	proximal_epithelial_hyperM	-1.0600827562821
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.0426058743910184
buccal	Never smoker (control)	epithelial_hypoM	-0.419645433554281
buccal	Never smoker (control)	immune_hypoM	-1.14509643828625
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.506339067539491
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.19934216029515
buccal	Never smoker (control)	epithelial_hypoM	-0.593098452217586
buccal	Never smoker (control)	immune_hypoM	-0.226852254052336
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.501085632807112
buccal	Never smoker (control)	distal_epithelial_hyperM	0.675857958969596
buccal	Never smoker (control)	epithelial_hypoM	-0.937119631453514
buccal	Never smoker (control)	immune_hypoM	-1.80045868123118
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.542856363725617
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.17803756483604
buccal	Never smoker (control)	epithelial_hypoM	-0.699200246052328
buccal	Never smoker (control)	immune_hypoM	0.181099845287695
buccal	Never smoker (control)	proximal_epithelial_hyperM	-1.62343055386031
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.615754263483897
buccal	Never smoker (control)	epithelial_hypoM	-0.0815313239388816
buccal	Never smoker (control)	immune_hypoM	-0.621265544284664
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.408244649987771
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.1099425789184
buccal	Never smoker (control)	epithelial_hypoM	-0.225716856310022
buccal	Never smoker (control)	immune_hypoM	0.3258448680696
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.185625488270604
buccal	Never smoker (control)	distal_epithelial_hyperM	2.26751484278333
buccal	Never smoker (control)	epithelial_hypoM	-0.857233251696687
buccal	Never smoker (control)	immune_hypoM	-1.42067103475878
buccal	Never smoker (control)	proximal_epithelial_hyperM	1.16408110853676
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.791758066567536
buccal	Never smoker (control)	epithelial_hypoM	-1.17481758034444
buccal	Never smoker (control)	immune_hypoM	-0.413736524226223
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.984697597482016
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.745008268437109
buccal	Former smoker (control)	epithelial_hypoM	-0.588824396499594
buccal	Former smoker (control)	immune_hypoM	0.117131206045715
buccal	Former smoker (control)	proximal_epithelial_hyperM	-1.06493023460995
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.914684193339327
buccal	Former smoker (control)	epithelial_hypoM	-0.674072258382567
buccal	Former smoker (control)	immune_hypoM	0.213429233523193
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.409097135347507
buccal	Former smoker (control)	distal_epithelial_hyperM	0.907205087222751
buccal	Former smoker (control)	epithelial_hypoM	-0.704790243738636
buccal	Former smoker (control)	immune_hypoM	0.314480055926876
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.753884065009622
buccal	Former smoker (control)	distal_epithelial_hyperM	-1.71136390480222
buccal	Former smoker (control)	epithelial_hypoM	0.279172355938147
buccal	Former smoker (control)	immune_hypoM	1.68533519900888
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.372563527792906
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.222188464043637
buccal	Former smoker (control)	epithelial_hypoM	0.188986291392541
buccal	Former smoker (control)	immune_hypoM	0.366638350527932
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.368146609192943
buccal	Former smoker (control)	distal_epithelial_hyperM	-1.39454717900359
buccal	Former smoker (control)	epithelial_hypoM	-0.729583728221707
buccal	Former smoker (control)	immune_hypoM	-0.281075590788795
buccal	Former smoker (control)	proximal_epithelial_hyperM	-1.25157090948826
buccal	Former smoker (control)	distal_epithelial_hyperM	1.06656422705518
buccal	Former smoker (control)	epithelial_hypoM	-0.523649128856156
buccal	Former smoker (control)	immune_hypoM	-0.737575595113729
buccal	Former smoker (control)	proximal_epithelial_hyperM	1.35273921358032
buccal	Former smoker (control)	distal_epithelial_hyperM	0.551812989309506
buccal	Former smoker (control)	epithelial_hypoM	-0.302247815346916
buccal	Former smoker (control)	immune_hypoM	-0.579311824682094
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.143224513668753
buccal	Former smoker (control)	distal_epithelial_hyperM	0.723316552728073
buccal	Former smoker (control)	epithelial_hypoM	-0.538954948352264
buccal	Former smoker (control)	immune_hypoM	-0.381514540806337
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.585749039879319
buccal	Former smoker (control)	distal_epithelial_hyperM	-2.08748391462552
buccal	Former smoker (control)	epithelial_hypoM	0.0944695480659191
buccal	Former smoker (control)	immune_hypoM	0.715546841942369
buccal	Former smoker (control)	proximal_epithelial_hyperM	-1.59372956786515
buccal	Former smoker (control)	distal_epithelial_hyperM	1.40072717956575
buccal	Former smoker (control)	epithelial_hypoM	-1.05567683852908
buccal	Former smoker (control)	immune_hypoM	-0.592118037744203
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.164841133588904
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.354623945865952
buccal	Former smoker (control)	epithelial_hypoM	-0.693055953100341
buccal	Former smoker (control)	immune_hypoM	-0.5251366168694
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.121211268881385
buccal	Former smoker (control)	distal_epithelial_hyperM	0.191411331167591
buccal	Former smoker (control)	epithelial_hypoM	0.00943879667787759
buccal	Former smoker (control)	immune_hypoM	-0.228154294907269
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.552958278064211
