Family	rel.abund.	group
Neisseriaceae	0.0790854329943649	M6 smoking cessation
Peptococcaceae	0.000712481378327612	M6 smoking cessation
Streptococcaceae	0.202020856273075	M6 smoking cessation
Atopobiaceae	0.0127206930584494	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.0321307160872903	Smoker baseline
Peptococcaceae	0	Smoker baseline
Streptococcaceae	0.224750520890449	Smoker baseline
Atopobiaceae	0.0128298737874205	M6 no smoking cessation
Comamonadaceae	0	M6 no smoking cessation
Neisseriaceae	0.0108480233649734	M6 no smoking cessation
Peptococcaceae	0.000104307916970898	M6 no smoking cessation
Streptococcaceae	0.279023677897152	M6 no smoking cessation
Atopobiaceae	0.00931275329826679	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.0298784168319393	Smoker baseline
Peptococcaceae	0.00086229197206174	Smoker baseline
Streptococcaceae	0.123868241786669	Smoker baseline
Atopobiaceae	0.0136545761282159	M6 smoking cessation
Comamonadaceae	0.0000527203711514129	M6 smoking cessation
Neisseriaceae	0.0151307465204555	M6 smoking cessation
Peptococcaceae	0.000843525938422607	M6 smoking cessation
Streptococcaceae	0.122100379586672	M6 smoking cessation
Atopobiaceae	0.0714550624304611	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.00445048831746817	Smoker baseline
Peptococcaceae	0.000123624675485227	Smoker baseline
Streptococcaceae	0.22186508427082	Smoker baseline
Atopobiaceae	0.0299553005537394	M6 smoking cessation
Comamonadaceae	0.0000667155914337181	M6 smoking cessation
Neisseriaceae	0.00440322903462539	M6 smoking cessation
Peptococcaceae	0.000133431182867436	M6 smoking cessation
Streptococcaceae	0.141303622656615	M6 smoking cessation
Atopobiaceae	0.0110296207857183	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.00460515094661436	Smoker baseline
Peptococcaceae	0	Smoker baseline
Streptococcaceae	0.270680538973222	Smoker baseline
Atopobiaceae	0.0124499777678968	M6 no smoking cessation
Comamonadaceae	0	M6 no smoking cessation
Neisseriaceae	0.00279489296830337	M6 no smoking cessation
Peptococcaceae	0	M6 no smoking cessation
Streptococcaceae	0.409451819856444	M6 no smoking cessation
Atopobiaceae	0.00977496106128149	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.0158440302916376	Smoker baseline
Peptococcaceae	0.000161125731779365	Smoker baseline
Streptococcaceae	0.220420001074172	Smoker baseline
Atopobiaceae	0.00973323720259553	M6 smoking cessation
Comamonadaceae	0	M6 smoking cessation
Neisseriaceae	0.0110550348473925	M6 smoking cessation
Peptococcaceae	0.000480653689017063	M6 smoking cessation
Streptococcaceae	0.291155972122086	M6 smoking cessation
